groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00225,1.88
128,ideal,0002,0.02839,0.15
128,ideal,0004,0.02840,0.15
128,ideal,0008,0.02842,0.15
128,ideal,0016,0.02846,0.15
128,ideal,0032,0.02852,0.15
128,ideal,0064,0.02863,0.15
128,ideal,0128,0.02918,0.17
128,ideal,0256,0.03974,0.27
128,ideal,0512,0.05445,0.44
128,ideal,1024,0.08642,0.49
128,ideal,2048,0.14551,0.54
