groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00128,3.64
128,ideal,0002,0.00129,3.66
128,ideal,0004,0.00164,2.87
128,ideal,0008,0.00279,1.69
128,ideal,0016,0.00556,0.85
128,ideal,0032,0.01108,0.42
128,ideal,0064,0.01082,0.44
128,ideal,0128,0.01147,0.56
128,ideal,0256,0.01687,0.73
128,ideal,0512,0.02755,0.96
128,ideal,1024,0.04899,0.95
128,ideal,2048,0.09148,0.94
