groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00127,3.65
128,ideal,0002,0.00128,3.65
128,ideal,0004,0.00150,3.11
128,ideal,0008,0.00231,2.03
128,ideal,0016,0.00431,1.09
128,ideal,0032,0.00818,0.57
128,ideal,0064,0.01078,0.44
128,ideal,0128,0.01114,0.54
128,ideal,0256,0.01619,0.75
128,ideal,0512,0.02297,0.98
128,ideal,1024,0.03963,1.03
128,ideal,2048,0.07402,1.09
