groupsize,model,batch,tot_q_s,tot_q_sp
128,ideal,0001,0.00144,2.94
128,ideal,0002,0.02783,0.15
128,ideal,0004,0.02784,0.15
128,ideal,0008,0.02786,0.15
128,ideal,0016,0.02790,0.15
128,ideal,0032,0.02794,0.15
128,ideal,0064,0.02806,0.15
128,ideal,0128,0.02808,0.15
128,ideal,0256,0.03558,0.29
128,ideal,0512,0.04998,0.40
128,ideal,1024,0.08249,0.43
128,ideal,2048,0.13928,0.55
